Timestamp,EX1_FAN_IN_RH_ITL_ETL,EX1_FAN_IN_TEMP_ITL_ETL,EX1_FAN_OUT_RH_ITL_ETL,EX1_FAN_OUT_TEMP_ITL_ETL,FA1_FAN_IN_RH_ITL_ETL,FA1_FAN_IN_TEMP_ITL_ETL,FA1_FAN_OUT_RH_ITL_ETL,FA1_FAN_OUT_TEMP_ITL_ETL,class
21-03-2018 05:58:00,48.9,27.71,47.64,29.51,39.77,31.44,44.96,31.56,2
21-03-2018 05:57:00,48.9,27.67,47.67,29.33,40.07,31.25,45.04,31.68,2
21-03-2018 05:56:00,48.9,27.63,47.6,28.97,39.7,31.52,44.79,31.65,2
21-03-2018 05:55:00,48.9,27.48,47.64,29.33,39.74,31.6,44.86,31.64,2
21-03-2018 05:54:00,49.11,27.81,47.88,29.38,39.84,31.81,44.96,31.85,2
21-03-2018 05:53:00,49.27,27.77,48.05,29.56,40.07,31.7,45.19,31.73,2
21-03-2018 05:52:00,49.34,27.78,48.05,29.3,40.1,31.56,45.3,31.58,2
21-03-2018 05:51:00,49.37,27.96,48.01,29.3,40.1,31.71,45.16,31.83,2
21-03-2018 05:50:00,49.27,27.39,47.98,29.41,40,31.7,45.06,32.04,2
21-03-2018 05:49:00,49.34,27.44,48.01,29.11,39.93,31.82,45.09,31.83,2
21-03-2018 05:48:00,49.34,27.66,48.02,29.37,39.86,31.77,45.03,31.54,2
21-03-2018 05:47:00,49.27,27.63,47.99,29.4,39.79,31.65,44.96,31.76,2
21-03-2018 05:46:00,49.55,27.29,48.15,29.02,39.76,31.69,44.99,31.73,2
21-03-2018 05:45:00,49.34,27.58,48.02,28.93,39.49,31.8,44.76,31.96,2
21-03-2018 05:44:00,49.58,27.56,48.22,28.98,39.68,32.12,44.92,31.84,2
21-03-2018 05:43:00,49.75,27.39,48.42,28.74,39.91,31.79,45.09,31.98,2
21-03-2018 05:42:00,49.79,27.69,48.4,29.23,39.9,31.76,45.09,31.89,2
21-03-2018 05:41:00,49.82,27.41,48.5,28.91,39.68,31.71,44.96,31.86,2
21-03-2018 05:40:00,49.92,27.3,48.5,28.96,39.71,31.67,44.93,31.83,2
21-03-2018 05:39:00,49.89,27.19,48.44,28.92,39.44,31.99,44.69,31.68,2
21-03-2018 05:38:00,50.1,27.23,48.71,28.49,39.47,31.79,44.79,31.85,2
21-03-2018 05:37:00,50.54,26.72,49.09,28.85,39.78,31.92,45.09,31.71,2
21-03-2018 05:36:00,50.84,27.01,49.3,28.64,39.68,32.01,45.06,31.81,2
21-03-2018 05:35:00,51.02,26.48,49.44,28.74,39.51,31.79,44.99,31.78,2
21-03-2018 05:34:00,51.48,26.57,49.82,28.14,39.44,31.77,44.99,31.67,2
21-03-2018 05:33:00,51.81,26.56,50.16,27.87,39.44,32.05,44.99,31.71,2
21-03-2018 05:32:00,52.55,26.27,50.78,27.69,39.54,31.94,45.13,31.64,2
21-03-2018 05:31:00,53.11,25.47,51.2,27.27,39.4,32.04,45.09,31.63,2
21-03-2018 05:30:00,54.11,25.13,51.74,26.71,39.44,31.78,45.17,31.68,2
21-03-2018 05:24:00,47.98,24.7,44.77,32.41,39.09,32.09,44.25,31.65,5
21-03-2018 05:23:00,47.56,25.22,44.7,32.03,38.95,32.06,44.13,31.91,5
21-03-2018 05:22:00,47.25,26.17,44.74,32.35,38.98,31.85,44,32.04,5
21-03-2018 05:21:00,47.12,26.46,44.6,32.76,38.73,32.27,43.96,32.05,5
21-03-2018 05:20:00,47.27,26.98,44.8,32.68,38.92,32.13,44.13,31.93,5
21-03-2018 05:19:00,47.71,27.36,44.8,32.3,39.09,31.84,44.27,32.16,5
21-03-2018 05:18:00,48.44,28.85,44.8,32.22,38.98,31.78,44.33,32.06,5
21-03-2018 05:17:00,48.33,28.45,44.67,32.44,38.88,31.99,44.22,32.14,5
21-03-2018 05:16:00,48.47,28.57,44.63,32.11,38.73,32.12,44.16,32.17,5
21-03-2018 05:15:00,48.85,28.53,44.74,32.39,38.98,32.1,44.33,32.09,5
21-03-2018 05:14:00,48.99,28.32,44.87,32.16,39.12,31.95,44.43,32.18,5
21-03-2018 05:13:00,49.08,28.53,44.77,32.12,38.94,31.98,44.39,32.3,5
21-03-2018 05:12:00,49.19,28.24,44.7,32.04,38.92,32.21,44.39,32.11,5
21-03-2018 05:11:00,49.15,28.34,44.77,32.02,39.12,31.96,44.29,32.09,5
21-03-2018 05:10:00,49.7,27.99,44.79,32.24,38.87,32.26,44.36,32.21,5
21-03-2018 05:09:00,50.05,27.86,44.86,32.53,38.91,32.35,44.53,32.16,5
21-03-2018 05:08:00,50.31,28,44.79,32.59,39.04,32.26,44.6,32.23,5
21-03-2018 05:07:00,50.69,27.89,44.83,32.56,39.03,32.29,44.67,32.18,5
