Timestamp,EX1_FAN_IN_RH_ITL,EX1_FAN_OUT_RH_ITL,FA1_FAN_IN_RH_ITL,FA1_FAN_OUT_RH_ITL,class
19-03-2018 15:36:00,46.22,44.92,34.05,40.2,2
19-03-2018 15:37:00,45.67,44.47,33.48,39.82,2
19-03-2018 15:38:00,45.26,44.13,33.97,39.89,2
19-03-2018 15:39:00,45.12,43.96,33.69,39.86,2
19-03-2018 15:40:00,44.87,43.64,33.57,39.65,2
19-03-2018 15:41:00,44.7,43.53,33.79,39.68,2
19-03-2018 15:42:00,44.43,43.32,33.69,39.59,2
19-03-2018 15:43:00,44.49,43.35,33.75,39.78,2
19-03-2018 15:44:00,44.39,43.29,33.18,39.49,2
19-03-2018 15:45:00,43.84,42.87,33.28,39.27,2
19-03-2018 15:46:00,43.88,42.84,33.41,39.33,2
19-03-2018 15:47:00,43.84,42.84,33.6,39.44,2
19-03-2018 15:48:00,43.91,42.84,33.65,39.47,2
19-03-2018 15:49:00,45.41,43.52,33.79,39.71,2
19-03-2018 15:50:00,47.2,44.63,33.54,39.65,2
19-03-2018 15:51:00,48.71,45.54,33.59,39.75,2
19-03-2018 15:52:00,49.79,46.28,33.54,39.79,2
19-03-2018 15:53:00,50.64,46.84,33.38,39.77,2
19-03-2018 15:54:00,51.33,47.44,33.71,40.04,2
19-03-2018 15:55:00,51.96,47.96,33.95,40.19,2
19-03-2018 15:56:00,53.07,48.75,33.95,40.36,2
19-03-2018 15:57:00,54.79,50.16,33.99,40.63,2
19-03-2018 15:58:00,55.9,51.14,33.93,40.63,2
19-03-2018 15:59:00,55.87,51.26,33.99,40.64,2
19-03-2018 16:00:00,55.52,51.23,33.99,40.78,2
19-03-2018 16:01:00,55.26,51.11,34.33,40.91,2
19-03-2018 16:02:00,54.42,50.81,34.05,40.81,2
19-03-2018 16:03:00,50.58,48.63,33.85,40.5,2
19-03-2018 16:04:00,48.88,47.23,33.83,40.36,2
19-03-2018 16:05:00,47.68,46.12,33.76,40.14,2
19-03-2018 16:06:00,46.93,45.53,33.83,40.14,2
19-03-2018 16:07:00,46.27,45.04,33.79,39.93,2
19-03-2018 16:08:00,0,44.68,34.01,40.06,2
19-03-2018 16:09:00,45.57,44.44,33.95,40.03,2
19-03-2018 16:10:00,45.23,44.13,33.95,39.93,2
19-03-2018 16:11:00,44.94,43.88,33.91,39.85,2
19-03-2018 16:12:00,44.84,43.73,33.92,39.88,2
19-03-2018 16:13:00,44.6,43.46,33.91,39.7,2
19-03-2018 16:14:00,44.43,43.35,33.79,39.7,2
19-03-2018 16:15:00,44.38,43.31,33.99,39.77,2
19-03-2018 16:16:00,44.29,43.28,34.33,39.94,2
19-03-2018 16:17:00,44.42,43.34,34.79,40.24,2
19-03-2018 16:18:00,44.58,43.53,35,40.45,2
19-03-2018 16:19:00,44.64,43.57,35.21,40.59,2
19-03-2018 16:20:00,44.58,43.57,35.07,40.62,2
19-03-2018 16:21:00,45.61,43.85,35.18,40.62,2
19-03-2018 16:22:00,47.07,44.66,35.05,40.59,2
19-03-2018 16:23:00,48.08,45.28,35.05,40.64,2
19-03-2018 16:24:00,48.95,45.91,34.95,40.64,2
19-03-2018 16:25:00,49.6,46.3,34.73,40.48,2
19-03-2018 16:26:00,50.33,46.76,34.59,40.48,2
